service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/09/01 04:00:00+00,Rail,Green Line,3869417,3869417,20,4903676,4903676,30,561
2019/09/01 04:00:00+00,Rail,Orange Line,4505587,4505587,20,5371381,5371381,30,562
2019/09/01 04:00:00+00,Rail,Red Line,5485803,5485803,20,6639955,6639955,30,563
2019/09/01 04:00:00+00,Bus,Silver Line,738886,738886,20,933957,933957,30,564
2019/09/01 04:00:00+00,The RIDE,The RIDE,117000,117000,20,158647,158647,30,565
2019/10/01 04:00:00+00,Rail,Blue Line,1691330,1691330,23,1970127,1970127,31,566
2019/10/01 04:00:00+00,Bus,Bus,8528800,8528800,23,9744683,9744683,31,567
2019/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2799238,2799238,23,2911497,2911497,31,568
2019/10/01 04:00:00+00,Ferry,Ferry,136022,136022,23,160480,160480,31,569
2019/10/01 04:00:00+00,Rail,Green Line,4263843,4263843,23,4968201,4968201,31,570
2019/10/01 04:00:00+00,Rail,Orange Line,5021380,5021380,23,5258169,5258169,31,571
2019/10/01 04:00:00+00,Rail,Red Line,6281604,6281604,23,7164378,7164378,31,572
2019/10/01 04:00:00+00,Bus,Silver Line,894937,894937,23,1071939,1071939,31,573
2019/10/01 04:00:00+00,The RIDE,The RIDE,137172,137172,23,146004,146004,31,574
2019/11/01 04:00:00+00,Rail,Blue Line,1370955,1370955,20,1692175,1692175,30,575
2019/11/01 04:00:00+00,Bus,Bus,7075494,7075494,20,8527062,8527062,30,576
